Music,Lyrics,Time,Views
Por Essa Eu Não Esperava,"['Por essa eu não esperava Você com medo de ler com a luz apagada (uuu) Dizendo quando for velha Vai ter problemas pra ver , os nosso retratos (uuu) Sempre que eu falo, você finge que não vê Cantamos pro amanha E venha o que vier Deixa o passado pra trás Você não sabe o quão alto , você vai conseguir chegar A sua vida é uma caixa, cheia de ilusões, rolando as escadas E eu digo quando eu for velho , vou estar ferrado de vez Vai ser engraçado (uuu) Sempre que eu falo você finge que não vê Mais sei que se importa Cantamos pro amanha E venha o que vier Deixa o passado pra trás Jogue esse espelho pro alto, e vamos nos inventar Outra vez Estamos aqui pra variar 3x E só me resta cuidar de nós 4x Cantamos pro amanhã , e venha o que vier Deixa o passado pra trás Você não sabe quão alto, você vai conseguir chegar']",240,587206
Anestesia,"['Se isso não é problema meu Não é de ninguém Todos querem meter Colher pra fora dos pratos Eu não acho essa curiosidade saudável Coisa boa não é Anestesia, por favor A minha vontade de saber Anestesia a minha dor Pra eu me conformar Dormir com rancor Se isso não é problema nosso Não é de ninguém Todos querem meter O pé em outros sapatos Eu não acho essa curiosidade saudável Coisa boa não pode ser Anestesia, por favor A minha vontade de saber Anestesia a minha dor Pra eu me conformar Anestesia, Seu Doutor A minha vontade de saber Anestesia, por favor Pra eu me conformar Dormir com rancor (Com rancor) Tô cansada de ver meus sapatos andando nos pés de alguém (Com rancor) Tô cansada de ver meus sapatos andando nos pés de alguém (Com rancor) Tô cansada de ver meus sapatos andando nos pés de alguém (Com rancor) Anestesia, por favor Minha vontade de saber Anestesia Anestesia, por favor Anestesia Minha vontade de saber Pra eu me conformar Dormir com rancor']",216,654659
Vê Se Não Morre,"['Eram explosões, incêndios em praças E confusões, pessoas armadas Você se foi (Cadê você?) Eu me preocupo Vê se não morre Toma cuidado Mande noticias Seja um sinal de fumaça Foi assim, nem deu tempo pra pensar Quando eu cai, os prédios em chamas Eu vi você me olhando de longe O sol se pôs Seguiu você Sobrou pra mim um buque No altar ao sol, em busca Eu me preocupo Vê se não morre Toma cuidado Mande noticias Seja um sinal de fumaça Vê se não morre Toma cuidado Mande noticias Seja um sinal de fumaça Está tão distante Está tão distante Sumiu na multidão Levou meu coração Está tão distante Sumiu na multidão Levou meu coração Está tão distante Vê se não morre Toma cuidado Mande noticias Seja um sinal de fumaça']",234,384597
Oculto,"['E dai se você for a presidenta? Não a lei que me obriga a ser Só mais um, só mais um Olha, com a luz batendo na cara, é impossível de te ver anoitecer E dai se você não exige tanto? Não é razão, pra que eu queira ser Mais comum , mais comum Olha, com a luz batendo na cara, é impossível de dizer, Quem é você? Eu posso ser melhor se confiar em mim, eu posso te mostrar que tem outro lugar Esquecido Se alguém abriu uma porta , todos querem entrar, Mesmo sem saber pra onde ela vai, Precipício Olha, com a luz batendo na cara, é impossível de te ver anoite... Olha com a luz batendo na cara é impossível de dizer, Quem é você?']",200,187744
Farol,"['Venha se sentar Te peço calma Pede uma água Que hoje eu vou contar Todo esse tempo Você fez eu me sentir tão bem Eu nunca vou desistir Até um dia eu ser alguém Muito prazer em te con... con... conhecer Eu vou pedir pra você desligar o farol Pois daqui em diante eu sou meu próprio sol E quem sabe um dia eu me torne um farol pra alguém Vamos levantar Nos despedir Embora pra casa E nunca mais voltar Todo esse tempo Você fez eu me sentir tão bem Eu nunca vou desistir Até um dia, um dia eu ser alguém As estrelas vão me aplaudir de pé As estrelas vão me aplaudir de pé Muito prazer em te con... con... conhecer Eu vou pedir pra você desligar o farol Pois daqui em diante eu sou meu próprio sol E quem sabe um dia eu me torne um farol pra você Muito prazer em te con... con... conhecer Eu vou pedir pra você apertar minha mão Pois daqui em diante eu sou meu próprio sol E quem sabe um dia eu me torne um farol Pra você entender melhor Vou pedir pra você As estrelas vão me aplaudir de pé Eu vou pedir pra você As estrelas vão me aplaudir de pé @_gewo']",268,186875
Café Amargo,"['Lento outra vez ao vir o trem passar Já foram dois lá vai o três Decido caminhar,com sorte eu chego às seis O vendaval vai me esperar É muita informação Pra quem só fez um pedido simples(Vem Dançar) Bati no travessão do amor eterno Do meu sucesso (Vem dançar) Dois dias sem dormir Demoram pra passar café amargo, sem você não dá Eu fiz o meu dever de casa mas eu me esqueci Que o preço é alto muito alto (Quando estou no topo antes de cair no chão) É muita informação Pra quem só fez um pedido simples (Vem dançar) Bati no travessão do amor eterno Do meu sucesso (Vem dançar) Do meu sucesso É muita informação Passando pela mente Não dá pra entender Não dá pra decifrar O que a gente sente Joguei meu coração Pela Janela (nem tentei) Amortecer a queda (vem dançar)']",233,85078
Saudade,"['Não querer lidar com pessoas É proteção pra você nunca se machucar. Se esconde e esquece, Pois quando a gente perde alguém não quer nem pensar Em esquecer... Das vezes que eu te encontrei Lembrar, e sentir o que foi pra mim. Aquela sensação de ter o mundo nas mãos Me fez acordar e ser quem sou Eu sei que a vida é curta E que todos nós somos frágeis feito papel, Que dobra e rasga. Mas quando a gente perde alguém, Não quer nunca ouvir que é natural. A saudade que sinto... Das vezes que eu te encontrei, Lembrar, e sentir o que foi pra mim. Aquela sensação de ter o mundo nas mãos Me fez acordar e ser quem sou. Espero que esteja em paz E a gente segue como dá, Se sufocar. A saudade que sinto no coração Não cabe nesse mundo. A saudade que sinto no coração Não cabe nesse mundo. Aonde foi que eu errei? Voltar. Decidir o que foi pra mim. Não te culpo por tudo. Eu sei. Um dia veremos o que sobrou... A saudade que sinto no coração Não cabe nesse mundo A saudade que sinto no coração Não cabe nesse mundo.']",273,374652
Gravidade,"['Eu vou te mostrar o quanto eu sou Capaz de aguentar o que for Preciso, preciso Pode ate chover em mim Que eu não vou sair daqui Lutando contra a gravidade E o que tiver de ser será Não ha nada, não ha nada Que nos prenda de alcançar Um lugar ao sol Largar o que é ruim Não esquenta um dia a gente vai envelhecer E rir do que passou Apague essa luz e vem deitar Não vou me importar de so te ver dormir Ver dormir Pode até chover em mim Que eu não vou sair daqui Lutando contra a gravidade E o que tiver de ser será Não há nada, não ha nada Que nos prenda de alcançar Um lugar ao sol Largar o que é ruim Não esquenta um dia a gente vai envelhecer E rir do que passou O que tiver que ser será Não tem como impedir E o que tiver que ser será Não ha nada, não ha nada O que tiver que ser será Não tem como impedir O que tiver que ser será Não ha nada, não ha nada Não esqueça a gravidade não é maior Que os sonhos que eu te dei Não me deixa o nosso amor vai permanecer E eu vou estar aqui']",258,229419
Cebolas,"['Que sejam cebolas Pra me fazer chorar, Já que sou uma pedra Sei que te cobro Bem mais que eu deveria estar fazendo de graça Eu sei... Não é possível, não é possível Ressuscitar meu coração Não é possível, não é possível Viver somente de razão Escondo as cartas, Escondo de mim mesmo Então não pergunte o que se passa Que venha o tédio Pra reclamar Que eu sou monótono e chato Não é possível, não é possível Ressucitar meu coração Não é possível não é possível Viver somente de razão. Te devolvo tudo, Pode ficar com o que eu te dei Te devolvo tudo... Pode ficar... Pode ser que no fim eu acorde pra esse mundo que eu nunca pude ver, mas por hora ele fica pra você... Não é possível Não é possível... @K (:']",210,226696
Labirintite,"['Deito Meu Corpo na minha cama Nas coisas que sinto só eu encosto Encosto mais... Se eu parar Tudo vai Aaaaa, aaaaah... Waaaa, waaaah... Se eu parar Pra pensar Aaaaa, aaaaah... Waaaa, waaaah... Não levo jeito pra ser transparente O que tem dentro só a gente sente Entende... Se eu parar Tudo vai Aaaaa, aaaaah... Waaaa, waaaah... Se eu parar Pra pensar Aaaaa, aaaaah... Waaaa, waaaah... Se eu parar Tudo vai Aaaaa, aaaaah... Waaaa, waaaah... Se eu parar Pra pensar Aaaaa, aaaaah... Waaaa, waaaah... O que tem dentro Ninguém pode ver Não seria justo... Aaaaaah... Quando eu parar... Tudo vai... Eu devia ter Eu devia ter Coragem... @K (:']",212,94461
Sorte E Azar,"['Nessa vida eu já fiz de tudo. E continuo a procurar meu rumo. Às vezes paro pra pensar Será que alguém sentou no meu lugar. E não se levantou quando me viu chegar Eu só corro atrás, Corro atrás de mim. Perdi a noção, do que é bom pra mim. Até hoje eu não sei, Qual é o meu quadrado. E todas as direções me cercam, Me enforcam Não que eu esteja reclamando Mas esse labirinto de obrigações Me persegue Trabalho pra pagar as contas do meu emprego (o que é bom pra mim) 4x Eu só corro atrás, corro atrás de mim. Perdi a noção, do que é bom pra mim Eu só corro atrás, (trabalho pra pagar) corro atrás de mim. (as contas do meu emprego) Perdi a noção, (e não se levantou) do que é bom pra mim (quando me viu chegar) Vou tentar saltar de bungee jump Quando estou com alguem no meu celular Vou gritar, até me responderem Por que eu tenho tanta sorte? Tanto azar? Tanta sorte e Aa aa a a aaazar (o que é bom pra mim) 2x Eu só corro atrás, Corro atrás de mim. Perdi a noção, do que é bom pra mim Eu só corro atrás, (trabalho pra pagar) corro atrás de mim. (as contas do meu emprego) Perdi a noção, (e não se levantou) do que é bom pra mim (quando me viu chegar) lá lálá (O que é bom pra mim) 6x']",220,54902
À Deriva,"['Eu me perdi logo agora Que as ondas batem no céu, no céu; Eu naveguei no seu mar; Não te contei que eu não sei nadar; E eu digo mais pra você... (2x) Estava no barco, à deriva, sem as velas; Perto do meio do oceano, sem um plano; Será que o fundo é muito longe? (será? será?) Será que é longe pra voltar? (será? será?) E eu digo mais pra você... (2x) Estava no barco, à deriva, sem as velas; Perto do meio do oceano, sem um plano; Como uma casa sem janela, sem janela; Em uma rua sem calçada, sem calçada; Era uma casa, à deriva, sem janela; No oceano sem calçada; Era uma casa sem janela, sem janela; No oceano sem calçada, sem calçada; Letra adicionada por Vitor Lisboa. (:']",229,79694
Berço,"['Entendo que seu peito já está quase desistindo Cresço mas parece que meu berço não tem fim Não sai daqui, não deixe o sol cair, não deixe o sol cair Esqueça que meus passos já estão quase se perdendo Corro mas parece que o relógio manda em mim Não sai daqui, não deixe o sol cair, não deixe o sol cair - Refrão - Eu fiquei tão velho pra brincar São seis botões pra abotoar O tesouro que eu enterrei Eu já nem sei aonde está Me prenda em seus braços e nunca me deixe ir Cresço mas parece que meu berço não tem fim Não sai daqui, não diz que vai. Não sai daqui, não deixe o sol... - Refrão - Não sai daqui, não deixe o sol cair, não deixe o sol cair - Refrão - Eu fiquei tão velho pra brincar São seis botões pra abotoar O tesouro que eu enterrei Eu já nem sei onde procurar É como estar na água e não nadar Mas quem sabe um dia eu possa mergulhar... Mergulhar... Mergulhar.']",266,66802
Mal-dito,"['Eu até pensei em reservar Uma mesa pra dois, me declarar Na esperança de te conquistar Com o cabelo arrumado e um altar Com rapidez tudo se foi E não haverá outra vez As fotos me fazem lembrar Do que eu não fui pra você Eu até pensei em tropeçar Do alto da ponte acabar Quem sabe todo mundo ia rir Do cara que pensou poder voar Eu até pensei em reservar Uma mesa pra dois me declarar Na esperança de te conquistar Com o cabelo arrumado e um altar Me machuquei pra perceber Que não tentar é perder Eu não consigo te falar Então vou cantar pra você']",197,72093
O Calculista,"['Eu fiz uma planilha pra você; E calculei a porcentagem de dar errado, dar errado, errado; Eu sei o quanto custa a solidão; Eles riram do meu papo de cifrão; Não tem graça, não tem graça não, tem graça; Nunca me deram valor; E eu não sei o quanto valho; Nunca te deram amor; E isso como sei que vale; Se tempo é dinheiro, então; Eu sou um milionário sem noção; Não há nada em nossa frente; Não há nada que seja prejudicial; Eu sei que só vejo numeros no total Mas se quiser alguém pra te fazer sorrir; É só olhar pro lado que estou aqui; Estou aqui, comecei a contar, a contar; (2x) Nunca me deram valor; E eu não sei o quanto valho; Nunca te deram amor; E isso como sei que vale; Se eu tiver sua mão; Eu vou retirar meu coração; Daquele leilão na cidade; E eu vou me dedicar; Pra que nunca aconteça nenhum azar; E a partir dali está valendo; Letra adicionada por Vitor Lisboa.']",259,299712
DistraÍdo,"['estou de novo aqui com um maldito sol que derrete minha cabeça ela que sempre me esfriou querer mudar sem nenhuma razão estou cansado desse peso em minhas mãos hoje vo pra lá, espero que lá seja um bom lugar. perdido agora como um homem cego num mudo de silêncio eu preciso ver, eu preciso de algo novo hoje é o dia pra te dizer (hoje é o dia) hoje é o dia pra te dizer pra que fugir pra outro lugar igual a esse se eu não vou me dedicar pra construir, se novamente eu vou embora antes de acabar peso em minhas costas e não ter como parar não há mais lugar pra se encontrar quando você não quer nada. pra que fugir pra outro lugar igual a esse se eu não vou me dedicar uaaaa pra que fugir pra outro lugar igual a esse se eu não vou me dedicar pra construir, se novamente eu vou embora antes de acabar pra que fugir me dedicar vou embora pra que...']",194,50162
Dois Na Estrada,"['Eu digo olá pro futuro só de saber que você vai estar em meus planos quem nunca lutou pra tentar ser feliz? eu vou levantar e te provar que tudo o que eu fiz já não importa mais aaaais... hei, he-ei, ninguem sabe como vai ser daqui pra frente dois na estrada hei, he-ei, andei de mais pra perceber que você é o que eu sempre quis. encontrar. oooooo suas mãos tocam minha pele e eu não paro de pensar que tudo é real estamos na tv, onde tudo é feliz, não da pra ver se há uma cicatriz na minha mente a sua porta é por onde eu quero entrar, entrar, entrar hey, he-ey, ninguem sabe como vai ser daqui pra frente dois na estrada hey, he-ey, andei de mais pra perceber que você é o que eu sempre quis encontrar. hey, he-ey hey, he-ey hey, he-ey hey, he-ey eu vou me levantar e te provar que tudo o que eu fiz já nao importa mais importa mais. hey, he-ey a gasolina acabou, daqui pra frente pé na estrada hey, he-ey andei demais pra perceber que você é o que eu sem sem sempre quis andei demais pra perceber que você é o que eu sempre quis encontrar']",234,160477
Sem Sal,"['Não vai parar essa dor que eu sinto doi muito mais que qualquer queda e eu acho que estamos sem sal, sem sal uooo uooo ooo oooo uooo uooo ooo oooo eu não consigo explicar então minto só pra você não falar nada e eu ainda acho que estamos sem sal, sem sal agora eu preciso me concentrar pra isso nunca acontecer procuro esquecer todos fatos letais e guardo o que eu puder. caminhando pra melhor foi você que inventou essa briga não tive culpa de nada se você acha que estamos sem sal, sem sal afinal o que você quer de mim, afinal afinal o que você quer de mim, afinal afinal o que você quer de mim, afinal quer de mim. agora eu preciso me concentrar pra isso nunca acontecer procuro esquecer todos fatos letais e guardo o que eu puder caminhando pra melhor uooo uooo ooo oooo uooo uooo ooo oooo uooo uooo ooo oooo uooo uooo ooo oooo agora eu preciso me concentrar pra isso nunca acontecer procuro esquecer todos fatos letais e guardo o que eu puder caminhando pra melhor. agora eu preciso caminhando pra melhor.']",260,157501
Refrões,"['Eu sou tão capaz quanto você de operar este coração Não há mistério não É muito fácil de usar É só andar devagar caindo em qualquer ilusão Refrões não fazem mais nada por nós, por nós Você é quem faz tudo fluir Dois pontos e um travessão Não quero impedir a porta de se fechar Talvez em outro lugar eu encontre algo de bom Eu ouvi você chorar ao sair Refrões não dizem mais nada por nós, por nós Quando me ver lembre de que não sou mais o mesmo Rompemos o lacre (2x) Mas quem vai te ajudar quando o som dos trilhos te perturbar a noite inteira Quem vai? Quem vai? Refrões não fazem mais nada por nós, por nós Quando me ver lembre de que não sou mais o mesmo Rompemos o lacre']",342,169283
Nós Somos Reais,['Será que um dia você vai acordar E ver que essa casa não é o seu lugar? Eu não agüento ver Você espera demais Se dá um passo pra frente Por que dois passos pra trás? Não espere demais A sua vida passa num instante Não olhe pra trás Já se passaram mais de vinte anos Às vezes a sorte já não quer sorrir A fé já se foi e só restou você Eu não agüento ver Você espera demais Se dá um passo pra frente Por que dois passos pra trás? Nós somos reais Estamos bem aqui na sua frente Não somos normais Não adianta fugir do que se sente Nós somos reais Estamos bem aqui na sua frente Não somos normais Não adianta fugir do que se sente Vão... Se romper... As cordas amarradas em você... Não espere demais A sua vida passa num instante Não olhe pra trás Já se passaram mais de vinte anos Nós somos reais Estamos bem aqui na sua frente Não somos normais Não adianta fugir do que se sente Será que um dia você vai perceber O quão valioso é o tempo que se perdeu?'],205,106524
Vou Assombrar Seus Amigos E Parentes,['Seu rosto ficou na minha cabeça Quando quebrei nosso mural Sofrer era tudo o que eu queria Depois de uma noite no hospital Momentos dos quais eu me arrependo Ter deixado você entrar Ter escrito seu nome no cimento Pra ninguém poder apagar O que você não me conta? Eu quero saber Quais são as coisas que você sempre pensa em falar? Não quero estar por aqui Nem quero ver o que restou Há alguns segundos atrás é capaz de ter falado muito Seus livros tirei da minha estante O nosso contrato chegou ao final Vou assombrar seus amigos e parentes Que nem ligaram pro meu funeral Por que você não me conta? Eu quero saber Quais são as coisas que você sempre pensa em falar? (Dramatizar sempre foi o nosso forte) Não quero estar por aqui Nem quero ver o que restou Há alguns segundos atrás é capaz de ter falado muito (Dramatizar sempre foi o nosso forte) Se eu me convenço a voltar Não será mais o mesmo Há alguns segundos atrás é capaz de ter falado muito'],223,174380
Eu Prefiro Assim,"['Perdi a fé em suas palavras Independente do que for falar Oh oh oh Nem sei por onde eu andava Uma estrada sem asfalto ou cor E uma explosão Revelou o lado bom de uma tragédia Não mostrar sofrer e esquecer as regras Quem dera ser assim - Refrão - Eu não sirvo para festas Gosto de promessas Sei que eu não sou normal Mas eu prefiro assim Assim, assim Estou ficando sem tempo E quero só um segundo Pra mostrar o que eu tenho aqui Sem mais perguntas Como em meu caminho Quase sempre sozinho Esquecendo o quanto é bom sorrir Sem me preocupar Eu lamento se já me deu a sua hora Se quiser me ver, estarei lá fora Lá fora. - Refrão - Eu não deixo a porta aberta Olho pela fresta Esperando um dia alguém olhar de volta pra mim Eu não sirvo para festas Gosto de promessas Sei que eu não sou normal Mas eu prefiro assim Assim, assim Eu não deixo a porta aberta Eu sempre olho pela fresta Eu não sirvo para festas Gosto de promessas Sei que eu não sou normal Mas eu prefiro Eu prefiro assim Embora esteja só no fim Agora que eu te vi E vi você olhando pra mim']",252,143512
Eu Poderia,"['Eu poderia escrever uma canção de amor pra você sem ter que esconder o que quero, o que sinto, e o que você não precisa saber eu poderia te dar meu coração sem você me pedir, só pra te agradar não me importo de ficar sem viver só pra te ver sorrir só posso estar perdendo a cabeça perdendo a cabeça será que isso é amor? será que isso é amor? eu acho que talvez, não sei. sei que hoje em dia o mundo não se importa com o que eu tenho a dizer e isso inclui você se estivéssemos a mil anos atrás, você ia queimar, queimar só posso estar perdido no tempo, perdido e sem tempo será que isso é amor? será que isso é amor? será que isso é amor? eu vou me levantar daqui será que isso é amor? será que isso é amor? eu acho que talvez, não sei. eu vou me levantar daqui.']",317,150704
